0,1
Novak Djokovic,1051
Rafael Nadal,962
Roger Federer,850
Marin Cilic,850
Andy Murray,799
Gilles Simon,777
David Ferrer,773
John Isner,750
Tomas Berdych,746
Fernando Verdasco,735
Fabio Fognini,732
Richard Gasquet,725
Philipp Kohlschreiber,717
Stan Wawrinka,709
Gael Monfils,699
Jo-Wilfried Tsonga,685
Feliciano Lopez,666
Andreas Seppi,659
Sam Querrey,655
Kei Nishikori,643
Grigor Dimitrov,609
Kevin Anderson,607
Jeremy Chardy,595
Roberto Bautista Agut,580
Milos Raonic,561
Viktor Troicki,558
Juan Martin del Potro,546
Albert Ramos,539
Benoit Paire,525
Nicolas Almagro,525
Guillermo Garcia Lopez,525
David Goffin,524
Mikhail Youzhny,519
Ivo Karlovic,509
Adrian Mannarino,508
Denis Istomin,486
Alexander Zverev,484
Dominic Thiem,481
Robin Haase,473
Marcos Baghdatis,470
Joao Sousa,455
Ernests Gulbis,452
Pablo Carreno Busta,449
Pablo Cuevas,448
Marcel Granollers,447
Juan Monaco,444
Janko Tipsarevic,426
Thomaz Bellucci,420
Alexandr Dolgopolov,419
Tommy Robredo,419
Jurgen Melzer,410
Diego Schwartzman,409
Julien Benneteau,408
Mikhail Kukushkin,400
Pablo Andujar,392
Jarkko Nieminen,387
Steve Johnson,379
Leonardo Mayer,378
Radek Stepanek,377
Bernard Tomic,371
Dusan Lajovic,370
Sergiy Stakhovsky,369
Jan Lennard Struff,368
Nikolay Davydenko,366
Santiago Giraldo,362
Daniil Medvedev,357
Federico Delbonis,357
Karen Khachanov,347
Stefanos Tsitsipas,337
Andrey Rublev,336
Florian Mayer,334
Yen Hsun Lu,329
Albert Montanes,323
Borna Coric,322
Gilles Muller,321
Jack Sock,317
Dudi Sela,316
Mischa Zverev,314
Benjamin Becker,305
Vasek Pospisil,302
Jiri Vesely,301
Paul Henri Mathieu,300
Martin Klizan,300
Donald Young,300
Nicolas Mahut,299
Nikoloz Basilashvili,298
Nick Kyrgios,295
Aljaz Bedene,294
Paolo Lorenzi,292
Victor Hanescu,290
Taylor Fritz,288
Andy Roddick,287
Tommy Haas,283
Carlos Berlocq,281
Lukas Rosol,281
Ryan Harrison,279
Ricardas Berankis,274
Denis Shapovalov,273
Lucas Pouille,268
Mardy Fish,265
Robin Soderling,264
Simone Bolelli,263
Lleyton Hewitt,262
Daniel Gimeno Traver,261
Damir Dzumhur,260
John Millman,260
Guido Pella,259
Dmitry Tursunov,258
Ivan Dodig,258
Teymuraz Gabashvili,252
Igor Andreev,246
Steve Darcis,246
Marton Fucsovics,244
Frances Tiafoe,244
Lukas Lacko,240
Malek Jaziri,237
Kyle Edmund,234
Filip Krajinovic,234
Alex De Minaur,233
Daniel Evans,232
Michael Llodra,231
Cameron Norrie,230
James Blake,228
Casper Ruud,227
Horacio Zeballos,224
Felix Auger Aliassime,221
Pierre Hugues Herbert,220
Alejandro Falla,218
Potito Starace,216
Radu Albot,215
Matthew Ebden,207
David Nalbandian,205
Xavier Malisse,202
Hubert Hurkacz,200
Matteo Berrettini,200
Jerzy Janowicz,198
Lukasz Kubot,195
Edouard Roger Vasselin,194
Ivan Ljubicic,193
Michael Berrer,189
Jordan Thompson,189
Juan Carlos Ferrero,186
Laslo Djere,184
Philipp Petzschner,184
Denis Kudla,183
Yoshihito Nishioka,183
Andrey Golubev,182
Cristian Garin,179
Andrey Kuznetsov,179
Marco Cecchinato,178
Florent Serra,177
Juan Ignacio Chela,174
Alexander Bublik,173
Evgeny Donskoy,172
Olivier Rochus,169
Reilly Opelka,168
Lorenzo Sonego,167
Peter Gojowczyk,167
Tobias Kamke,165
Taro Daniel,162
Igor Kunitsyn,162
Illya Marchenko,160
Dustin Brown,160
Jannik Sinner,160
Roberto Carballes Baena,159
Marinko Matosevic,159
Thiemo De Bakker,157
Miomir Kecmanovic,156
Thiago Monteiro,155
Marius Copil,155
Hyeon Chung,153
Daniel Brands,151
Fernando Gonzalez,150
Blaz Kavcic,147
Yuichi Sugita,143
Filippo Volandri,142
Somdev Devvarman,141
Michael Russell,140
Ugo Humbert,139
Victor Estrella,139
Igor Sijsling,138
Rajeev Ram,138
Tommy Paul,138
Rainer Schuettler,138
Lloyd Harris,136
Jaume Munar,134
Ilya Ivashka,134
Go Soeda,131
Tim Smyczek,128
Robby Ginepri,128
Mackenzie Mcdonald,127
James Duckworth,127
Alex Bogomolov Jr,126
Arnaud Clement,124
Frederico Gil,124
Tennys Sandgren,122
Andreas Haider Maurer,121
Marc Gicquel,120
Henri Laaksonen,119
Marco Chiudinelli,117
Nicolas Jarry,116
Egor Gerasimov,116
Alejandro Davidovich Fokina,116
Jared Donaldson,113
Evgeny Korolev,112
Stephane Robert,110
Emil Ruusuvuori,105
Eduardo Schwank,104
Facundo Bagnis,104
Tatsuma Ito,102
Jose Acasuso,102
Bjorn Phau,101
Andreas Beck,100
Alexei Popyrin,100
Thanasi Kokkinakis,99
Sam Groth,99
Flavio Cipolla,99
Marcos Giron,99
Oscar Hernandez,98
Frank Dancevic,97
Mikael Ymer,97
Rogerio Dutra Silva,94
Soon Woo Kwon,93
Aslan Karatsev,92
Marsel Ilhan,92
Ruben Bemelmans,91
Thomas Fabbiano,90
Marat Safin,90
Jesse Levine,89
Grega Zemlja,89
Kenny De Schepper,88
Michal Przysiezny,88
Maximo Gonzalez,88
Wayne Odesnik,88
Jan Hajek,88
Corentin Moutet,87
Carlos Alcaraz,87
Sebastian Korda,86
Pedro Martinez,86
James Ward,85
Juan Ignacio Londero,85
Pere Riba,85
Matthias Bachinger,84
Stefano Travaglia,83
Elias Ymer,83
Gastao Elias,82
Cedrik Marcel Stebe,82
Norbert Gombos,80
Dominik Koepfer,80
Maximilian Marterer,79
Lorenzo Musetti,78
Ryan Sweeting,78
Joao Souza,77
Nicolas Kiefer,76
Federico Coria,75
Paul Capdeville,75
Simon Greul,75
Hugo Dellien,74
Mario Ancic,74
Dennis Novak,73
Jan Hernych,73
Ruben Ramirez Hidalgo,72
Mirza Basic,71
Fabrice Santoro,71
Bobby Reynolds,70
Nicolas Lapentti,69
Rui Machado,69
Peter Luczak,67
Christophe Rochus,66
Jozef Kovalik,65
Botic Van De Zandschulp,65
Andrej Martin,65
Carlos Moya,65
Ivan Navarro,64
Guillermo Canas,63
Martin Vassallo Arguello,63
Salvatore Caruso,63
Denis Gremelmayr,63
Bjorn Fratangelo,61
Chris Guccione,61
Jurgen Zopp,61
Alejandro Gonzalez,61
Yannick Hanfmann,60
Arthur Rinderknech,60
Taylor Dent,60
Yuki Bhambri,60
Adrian Ungur,60
Kristof Vliegen,60
Ze Zhang,60
Peter Polansky,60
Gianluca Mager,59
Nicolas Massu,59
Marcos Daniel,59
Brandon Nakashima,59
Kamil Majchrzak,59
Ivo Minar,58
Agustin Calleri,58
Renzo Olivo,56
Robert Kendrick,55
Daniel Elahi Galan,54
Waiting,0
